Algorithm,Map,Seed Count,Episodes per Seed,Success Rate Mean,Success Rate Std,Success Rate CI Low,Success Rate CI High,Success Rate CI Halfwidth,Collision Rate Mean,Collision Rate Std,Collision Rate CI Low,Collision Rate CI High,Collision Rate CI Halfwidth,Average Return Mean,Average Return Std,Average Return CI Low,Average Return CI High,Average Return CI Halfwidth,Path Length Mean,Path Length Std,Path Length CI Low,Path Length CI High,Path Length CI Halfwidth,Optimality Gap Mean,Optimality Gap Std,Optimality Gap CI Low,Optimality Gap CI High,Optimality Gap CI Halfwidth,Repeated Failure Rate Mean,Repeated Failure Rate Std,Repeated Failure Rate CI Low,Repeated Failure Rate CI High,Repeated Failure Rate CI Halfwidth,Inference Time Mean,Inference Time Std,Inference Time CI Low,Inference Time CI High,Inference Time CI Halfwidth
Without Diversity,obstacle,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8764,0.00917968772163122,0.8698337032171854,0.8829662967828145,0.006566296782814508,13.36,0.9179687721631205,12.70337032171855,14.016629678281449,0.6566296782814497,4.36,0.9179687721631203,3.7033703217185505,5.01662967828145,0.6566296782814497,0.0,0.0,0.0,0.0,0.0,0.003752548248528366,1.9138736116541446e-05,0.0037388581726564983,0.0037662383244002335,1.3690075871867502e-05
Without Diversity,random_small,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9207999999999998,0.0037947331922020063,0.9180855999999998,0.9235143999999998,0.002714399999999965,8.92,0.3794733192202058,8.64856,9.19144,0.2714400000000002,0.9199999999999999,0.3794733192202055,0.64856,1.1914399999999998,0.27143999999999996,0.0,0.0,0.0,0.0,0.0,0.004122704200511743,0.0002281665087648134,0.003959495052457828,0.004285913348565658,0.00016320914805391466
Without Loop Penalty,deceptive,10,10.0,0.48999999999999994,0.18529256146249726,0.35745889543239795,0.6225411045676019,0.13254110456760196,0.0,0.0,0.0,0.0,0.0,-0.08070000000000013,0.34386853107934534,-0.3266716384487449,0.16527163844874462,0.24597163844874476,32.57,6.622361109654673,27.832977372694955,37.307022627305045,4.737022627305046,,,,,,0.19042325648208,0.07260025084995335,0.1384917738386962,0.2423547391254638,0.051931482643383785,0.003813415872498426,7.488890316869758e-05,0.003759847300357745,0.003866984444639107,5.356857214068105e-05
Without Loop Penalty,easy,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9431999999999998,0.006196773353931836,0.9387674033614594,0.9476325966385403,0.004432596638540416,6.68,0.6196773353931867,6.236740336145956,7.123259663854044,0.4432596638540439,1.6800000000000002,0.6196773353931867,1.2367403361459561,2.123259663854044,0.4432596638540439,0.0,0.0,0.0,0.0,0.0,0.004045310213394407,0.00011350055587828902,0.003964122447806796,0.0041264979789820185,8.118776558761111e-05
Without Loop Penalty,obstacle,10,10.0,0.99,0.031622776601683784,0.96738,1.01262,0.022619999999999994,0.0,0.0,0.0,0.0,0.0,0.8623,0.06948389101879018,0.8125976720026113,0.9120023279973886,0.049702327997388614,13.27,2.3832983680418853,11.565209501551582,14.974790498448417,1.7047904984484168,3.9288888888888884,1.507577567973466,2.85050778981285,5.007269987964927,1.0783810990760383,0.015101190476190476,0.04775415728480463,-0.019057702380952377,0.04926008333333333,0.03415889285714285,0.0037920432661507505,3.174748725549818e-05,0.003769334059721321,0.00381475247258018,2.2709206429429454e-05
Without Loop Penalty,random_small,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9233999999999998,0.004005551702879949,0.9205347999999998,0.9262651999999998,0.0028652000000000013,8.66,0.4005551702879948,8.37348,8.94652,0.28652000000000005,0.66,0.4005551702879947,0.3734800000000001,0.94652,0.28651999999999994,0.0,0.0,0.0,0.0,0.0,0.004130758125106478,0.00020468533733521813,0.003984345228198617,0.004277171022014339,0.00014641289690786054
Without Tail Memory,deceptive,10,10.0,0.6599999999999999,0.05163977794943222,0.6230616946788297,0.6969383053211702,0.03693830532117032,0.0,0.0,0.0,0.0,0.0,0.19419999999999987,0.07668811294240238,0.13934444014176856,0.2490555598582312,0.054855559858231304,30.580000000000002,2.6852684533704756,28.659208123299145,32.50079187670086,1.9207918767008567,7.347619047619046,5.079367559523204,3.714310826661082,10.98092726857701,3.6333082209579644,0.44834502361243855,0.10858460487058931,0.3706736732085671,0.5260163740163101,0.07767135040387148,0.0037950972977054973,5.516668011432271e-05,0.003755636173848349,0.0038345584215626455,3.946112385714843e-05
Without Tail Memory,easy,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396000000000001,0.0074714270539316665,0.9342556343837647,0.9449443656162355,0.0053443656162354665,7.040000000000001,0.7471427053931681,6.505563438376454,7.574436561623548,0.5344365616235476,2.04,0.747142705393168,1.5055634383764525,2.5744365616235476,0.5344365616235476,0.0,0.0,0.0,0.0,0.0,0.004052079744019662,9.987339970298131e-05,0.003980639581451485,0.004123519906587839,7.14401625681771e-05
Without Tail Memory,obstacle,10,10.0,0.9800000000000001,0.06324555320336758,0.9347600000000001,1.0252400000000002,0.045239999999999995,0.0,0.0,0.0,0.0,0.0,0.8470000000000001,0.1120327333118912,0.7668621784723344,0.9271378215276658,0.08013782152766571,13.3,2.0445048300260873,11.837550960887867,14.762449039112134,1.4624490391121328,3.5,1.491457154746473,2.433149948680697,4.566850051319303,1.0668500513193033,0.039795518207282915,0.12584447820171474,-0.05022194397759101,0.12981298039215683,0.09001746218487393,0.0037959229787817893,3.773605256582692e-05,0.003768930108427908,0.0038229158491356707,2.6992870353881402e-05
Without Tail Memory,random_small,10,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9212,0.0037947331922020323,0.9184856,0.9239144,0.0027143999999999836,8.879999999999999,0.37947331922020555,8.608559999999999,9.15144,0.27144,0.8799999999999999,0.37947331922020555,0.6085599999999999,1.15144,0.27144,0.0,0.0,0.0,0.0,0.0,0.0040565740955205995,4.799853754711902e-05,0.0040222403957006405,0.004090907795340559,3.4333699819958925e-05
