Algorithm,Map,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
Without Diversity,deceptive,3,10,0.5,0.0,-0.07100000000000012,33.1,3.2,0.247853372118078,0.0038351303600334527
Without Diversity,deceptive,4,10,0.0,0.0,-0.9900000000000002,50.0,,0.3666666666666667,0.003749535496259341
Without Diversity,deceptive,5,10,0.5,0.0,-0.055000000000000104,31.5,0.0,0.2149859943977591,0.0037820195190120453
Without Diversity,deceptive,6,10,0.6,0.0,0.12799999999999992,28.2,0.6666666666666666,0.10052521008403362,0.003758835269700145
Without Diversity,deceptive,7,10,0.6,0.0,0.12399999999999992,28.6,1.3333333333333333,0.1390406162464986,0.003752921088921137
Without Diversity,deceptive,8,10,0.6,0.0,0.12399999999999992,28.6,1.3333333333333333,0.13534663865546218,0.0037408702186722854
Without Diversity,deceptive,9,10,0.5,0.0,-0.06100000000000011,32.1,1.2,0.1253326330532213,0.0037222111259657257
Without Diversity,easy,0,10,1.0,0.0,0.9419999999999998,6.8,1.8,0.0,0.003980781170040635
Without Diversity,easy,1,10,1.0,0.0,0.9480000000000001,6.2,1.2,0.0,0.003956831006396983
Without Diversity,easy,2,10,1.0,0.0,0.944,6.6,1.6,0.0,0.003919627493513062
Without Diversity,easy,3,10,1.0,0.0,0.9400000000000001,7.0,2.0,0.0,0.003982163418795726
Without Diversity,easy,4,10,1.0,0.0,0.9259999999999999,8.4,3.4,0.0,0.0040137663857439795
Without Diversity,easy,5,10,1.0,0.0,0.9380000000000001,7.2,2.2,0.0,0.00413785711351284
Without Diversity,easy,6,10,1.0,0.0,0.9399999999999998,7.0,2.0,0.0,0.003930620486550047
Without Diversity,easy,7,10,1.0,0.0,0.9259999999999999,8.4,3.4,0.0,0.0040694451140840795
Without Diversity,easy,8,10,1.0,0.0,0.938,7.2,2.2,0.0,0.004023138796072353
Without Diversity,easy,9,10,1.0,0.0,0.9479999999999998,6.2,1.2,0.0,0.00393477581419228
Without Diversity,obstacle,0,10,1.0,0.0,0.874,13.6,4.6,0.0,0.0037535900601265
Without Diversity,obstacle,1,10,1.0,0.0,0.866,14.4,5.4,0.0,0.0037316557638306983
Without Diversity,obstacle,2,10,1.0,0.0,0.882,12.8,3.8,0.0,0.0037556113462320516
Without Diversity,obstacle,3,10,1.0,0.0,0.8720000000000001,13.8,4.8,0.0,0.003762670672956797
Without Diversity,obstacle,4,10,1.0,0.0,0.876,13.4,4.4,0.0,0.003773835770247467
Without Diversity,obstacle,5,10,1.0,0.0,0.866,14.4,5.4,0.0,0.003779376165807509
Without Diversity,obstacle,6,10,1.0,0.0,0.8880000000000001,12.2,3.2,0.0,0.003739770160194064
Without Diversity,obstacle,7,10,1.0,0.0,0.884,12.6,3.6,0.0,0.0037483558886456493
Without Diversity,obstacle,8,10,1.0,0.0,0.866,14.4,5.4,0.0,0.0037636943417612596
