Algorithm,Map,Seed,Episodes,Success Rate,Collision Rate,Average Return,Path Length,Optimality Gap,Repeated Failure Rate,Inference Time
Failure-Memory Baseline,easy,9,10,1.0,0.0,0.9059999999999999,10.4,5.4,0.0,0.0019229109023224645
Failure-Memory Baseline,obstacle,0,10,0.6,0.4,0.143,6.7,0.3333333333333333,0.42666666666666664,0.0019996685998120655
Failure-Memory Baseline,obstacle,1,10,0.4,0.6,-0.24700000000000003,5.7,0.5,0.5064285714285715,0.0019606287618205327
Failure-Memory Baseline,obstacle,2,10,0.6,0.4,0.133,7.7,1.3333333333333333,0.3557142857142857,0.0019212967272878058
Failure-Memory Baseline,obstacle,3,10,0.4,0.6,-0.253,6.3,1.5,0.49944444444444447,0.0018931168446546178
Failure-Memory Baseline,obstacle,4,10,0.5,0.5,-0.05100000000000001,6.1,0.4,0.4866666666666667,0.0018991665996748112
Failure-Memory Baseline,obstacle,5,10,0.6,0.4,0.13500000000000004,7.5,0.3333333333333333,0.49642857142857133,0.0019226282542719002
Failure-Memory Baseline,obstacle,6,10,0.5,0.5,-0.05300000000000006,6.3,0.8,0.44666666666666666,0.0018942391142362878
Failure-Memory Baseline,obstacle,7,10,0.5,0.5,-0.05099999999999997,6.1,0.0,0.4600000000000001,0.0019215665737445104
Failure-Memory Baseline,obstacle,8,10,0.4,0.6,-0.25299999999999995,6.3,2.5,0.47380952380952374,0.0019389580226399268
Failure-Memory Baseline,obstacle,9,10,0.6,0.4,0.143,6.7,0.3333333333333333,0.44333333333333347,0.0019258290955225343
Failure-Memory Baseline,random_small,0,10,1.0,0.0,0.9119999999999999,9.8,1.8,0.0,0.0019034626383533277
Failure-Memory Baseline,random_small,1,10,1.0,0.0,0.908,10.2,2.2,0.0,0.0019002044113551077
Failure-Memory Baseline,random_small,2,10,1.0,0.0,0.9139999999999999,9.6,1.6,0.0,0.0019215998628022222
Failure-Memory Baseline,random_small,3,10,1.0,0.0,0.916,9.4,1.4,0.0,0.0019006283191265537
Failure-Memory Baseline,random_small,4,10,1.0,0.0,0.9179999999999998,9.2,1.2,0.0,0.001928452903474473
Failure-Memory Baseline,random_small,5,10,1.0,0.0,0.9039999999999999,10.6,2.6,0.0,0.001901390780829108
Failure-Memory Baseline,random_small,6,10,1.0,0.0,0.916,9.4,1.4,0.0,0.001910953872538812
Failure-Memory Baseline,random_small,7,10,1.0,0.0,0.89,12.0,4.0,0.0,0.0019176054140391194
Failure-Memory Baseline,random_small,8,10,1.0,0.0,0.8939999999999999,11.6,3.6,0.0,0.0019077387707352599
Failure-Memory Baseline,random_small,9,10,1.0,0.0,0.9,11.0,3.0,0.0,0.0019128069935374827
