Algorithm,Map,Seed Count,Episodes per Seed,Success Rate Mean,Success Rate Std,Success Rate CI Low,Success Rate CI High,Success Rate CI Halfwidth,Collision Rate Mean,Collision Rate Std,Collision Rate CI Low,Collision Rate CI High,Collision Rate CI Halfwidth,Average Return Mean,Average Return Std,Average Return CI Low,Average Return CI High,Average Return CI Halfwidth,Path Length Mean,Path Length Std,Path Length CI Low,Path Length CI High,Path Length CI Halfwidth,Optimality Gap Mean,Optimality Gap Std,Optimality Gap CI Low,Optimality Gap CI High,Optimality Gap CI Halfwidth,Repeated Failure Rate Mean,Repeated Failure Rate Std,Repeated Failure Rate CI Low,Repeated Failure Rate CI High,Repeated Failure Rate CI Halfwidth,Inference Time Mean,Inference Time Std,Inference Time CI Low,Inference Time CI High,Inference Time CI Halfwidth
Dead-End Memory,obstacle,3,10.0,0.5333333333333333,0.11547005383792512,0.24646666666666672,0.8201999999999999,0.2868666666666666,0.4666666666666666,0.11547005383792512,0.17980000000000002,0.7535333333333332,0.2868666666666666,0.00899999999999998,0.22008180297334898,-0.5377576320832964,0.5557576320832964,0.5467576320832964,6.766666666666666,1.3012814197295421,3.5338435158518178,9.999489817481514,3.232823150814848,0.888888888888889,1.261979632400061,-2.2462953300079462,4.024073107785724,3.135184218896835,0.44349206349206344,0.05482880661449292,0.30727876430292805,0.5797053626811988,0.13621329918913538,0.0019093095190293545,1.7989350464992886e-05,0.0018646178883262603,0.0019540011497324486,4.469163070309423e-05
Dead-End Memory,random_small,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9113333333333333,0.0030550504633038355,0.9037435547389928,0.9189231119276738,0.007589778594340478,9.866666666666667,0.30550504633038905,9.107688807232606,10.625644526100729,0.7589778594340616,1.8666666666666665,0.3055050463303894,1.107688807232604,2.6256445261007286,0.7589778594340624,0.0,0.0,0.0,0.0,0.0,0.0019056491383282034,8.093199581829454e-06,0.001885542893379481,0.0019257553832769257,2.0106244948722313e-05
Diverse Candidates,deceptive,3,10.0,0.10000000000000002,1.6996749443881478e-17,0.09999999999999998,0.10000000000000006,4.2225674060726777e-17,0.0,0.0,0.0,0.0,0.0,-0.8203333333333336,0.011372481406154617,-0.848586423414086,-0.7920802432525812,0.028253090080752333,48.03333333333333,1.1372481406154629,45.208024325258094,50.85864234140857,2.8253090080752368,17.333333333333332,11.372481406154654,-10.919756747419093,45.58642341408576,28.253090080752425,0.7663313810372635,0.029312268344790213,0.6935097928156856,0.8391529692588414,0.07282158822157792,0.0037197685504338426,2.013131701199002e-05,0.003669755550397094,0.0037697815504705912,5.0013000036748806e-05
Diverse Candidates,easy,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9486666666666665,0.004163331998932251,0.9383235419077856,0.9590097914255475,0.010343124758880995,6.133333333333333,0.4163331998932264,5.09902085744523,7.167645809221436,1.0343124758881028,1.1333333333333335,0.4163331998932266,0.09902085744523026,2.167645809221437,1.0343124758881033,0.0,0.0,0.0,0.0,0.0,0.003908035719653877,1.4153755470768405e-05,0.003872873004146587,0.003943198435161167,3.516271550729007e-05
Diverse Candidates,obstacle,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8953333333333333,0.008082903768654786,0.8752526666666666,0.9154140000000001,0.020080666666666733,11.466666666666667,0.8082903768654759,9.4586,13.474733333333333,2.0080666666666662,2.466666666666667,0.8082903768654761,0.4586000000000001,4.474733333333333,2.0080666666666667,0.0,0.0,0.0,0.0,0.0,0.0037377810390118705,6.10276073771977e-05,0.003586167822242166,0.0038893942557815748,0.00015161321676970436
Diverse Candidates,random_small,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9226666666666666,0.005033222956847171,0.910162438563963,0.9351708947693703,0.012504228102703692,8.733333333333333,0.5033222956847168,7.482910523062964,9.983756143603701,1.250422810270368,0.7333333333333334,0.5033222956847166,-0.5170894769370344,1.9837561436037012,1.2504228102703678,0.0,0.0,0.0,0.0,0.0,0.003982991944912,7.890351488152539e-06,0.003963389643232885,0.0040025942465911155,1.960230167911528e-05
Failure-Memory Baseline,deceptive,3,10.0,0.03333333333333333,0.05773502691896259,-0.11010000000000003,0.17676666666666668,0.14343333333333336,0.9666666666666667,0.05773502691896256,0.8232333333333334,1.1101,0.1434333333333333,-1.0013333333333334,0.0912432645916032,-1.2280124618103747,-0.7746542048562921,0.22667912847704128,7.8,2.4331050121192876,1.7553442535299553,13.844655746470044,6.0446557464700446,,,,,,0.6966330891330891,0.08493060483956108,0.48563674247418864,0.9076294357919895,0.21099634665890046,0.0018933120537956581,1.1169350696135102e-05,0.001865563609099091,0.0019210604984922252,2.7748444696567082e-05
Failure-Memory Baseline,easy,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9266666666666667,0.016041612554021308,0.8868138756755983,0.9665194576577352,0.0398527909910684,8.333333333333334,1.604161255402129,4.348054234226499,12.318612432440169,3.9852790991068345,3.3333333333333335,1.6041612554021285,-0.6519457657735002,7.318612432440167,3.9852790991068336,0.0,0.0,0.0,0.0,0.0,0.0019024539559777509,1.3752289664053006e-05,0.001868288617313419,0.0019366192946420828,3.41653386643318e-05
Failure-Memory Baseline,obstacle,3,10.0,0.5333333333333333,0.11547005383792512,0.24646666666666672,0.8201999999999999,0.2868666666666666,0.4666666666666666,0.11547005383792512,0.17980000000000002,0.7535333333333332,0.2868666666666666,0.009666666666666657,0.2223360819420306,-0.5426913567907445,0.5620246901240777,0.5523580234574111,6.7,1.0,4.21566179167704,9.18433820832296,2.48433820832296,0.7222222222222222,0.5357583756107197,-0.6087827807365324,2.0532272251809767,1.3310050029587546,0.4296031746031746,0.07540004170249325,0.24228397009252609,0.6169223791138231,0.1873192045106485,0.0019181428498503165,2.914940462169549e-05,0.0018457258701987725,0.0019905598295018607,7.241697965154397e-05
Failure-Memory Baseline,random_small,3,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9113333333333333,0.0030550504633038355,0.9037435547389928,0.9189231119276738,0.007589778594340478,9.866666666666667,0.30550504633038905,9.107688807232606,10.625644526100729,0.7589778594340616,1.8666666666666665,0.3055050463303894,1.107688807232604,2.6256445261007286,0.7589778594340624,0.0,0.0,0.0,0.0,0.0,0.0018998115179578781,1.2796221227437083e-05,0.0018680213766404028,0.0019316016592753535,3.179014131747527e-05
