success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Map,Seed
0,-1.02,3,1,1.0,,0.0019559859938453883,Failure-Memory Baseline,deceptive,0
0,-1.05,6,1,0.7142857142857143,,0.002005666664141851,Failure-Memory Baseline,deceptive,0
1,0.88,13,0,0.14285714285714285,0.0,0.002025445537023748,Failure-Memory Baseline,deceptive,0
0,-1.19,20,1,1.0,,0.0019575167018047067,Failure-Memory Baseline,deceptive,0
0,-1.02,3,1,1.0,,0.00199225000202811,Failure-Memory Baseline,deceptive,0
0,-1.08,9,1,0.2,,0.0019402406647309868,Failure-Memory Baseline,deceptive,0
0,-1.4000000000000001,41,1,1.0,,0.001918254024420138,Failure-Memory Baseline,deceptive,0
0,-1.03,4,1,0.0,,0.0018829374967026524,Dead-End Memory,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.0019219247973524035,Dead-End Memory,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.0019303750013932586,Dead-End Memory,deceptive,0
0,-1.02,3,1,1.0,,0.0019255556641534592,Dead-End Memory,deceptive,0
0,-1.05,6,1,0.7142857142857143,,0.0019686041632667184,Dead-End Memory,deceptive,0
1,0.88,13,0,0.14285714285714285,0.0,0.0019496570771130233,Dead-End Memory,deceptive,0
0,-1.19,20,1,1.0,,0.0018984207497851457,Dead-End Memory,deceptive,0
0,-1.1199999999999999,13,1,0.7142857142857143,,0.0018877083046111064,Dead-End Memory,deceptive,0
0,-1.08,9,1,1.0,,0.0018840973304274182,Dead-End Memory,deceptive,0
0,-1.09,10,1,1.0,,0.001883399895450566,Dead-End Memory,deceptive,0
0,-0.9900000000000002,50,0,0.0,,0.0036436016191146335,Diverse Candidates,deceptive,0
0,-0.9900000000000002,50,0,1.0,,0.003744222579698544,Diverse Candidates,deceptive,0
0,-0.9900000000000002,50,0,0.23529411764705882,,0.0037673199802520686,Diverse Candidates,deceptive,0
0,-0.9900000000000002,50,0,1.0,,0.003816599160491023,Diverse Candidates,deceptive,0
0,-0.9900000000000002,50,0,1.0,,0.005510766699444503,Diverse Candidates,deceptive,0
1,0.74,27,0,0.35714285714285715,14.0,0.007026541704868173,Diverse Candidates,deceptive,0
0,-0.9900000000000002,50,0,0.9411764705882353,,0.004159844079986215,Diverse Candidates,deceptive,0
0,-0.9900000000000002,50,0,1.0,,0.003975144941941835,Diverse Candidates,deceptive,0
0,-0.9900000000000002,50,0,1.0,,0.004025545898184646,Diverse Candidates,deceptive,0
0,-0.9900000000000002,50,0,0.9607843137254902,,0.004001997599843889,Diverse Candidates,deceptive,0
0,-1.03,4,1,0.0,,0.0018922497547464445,Adaptive Failure,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.0019220204994780943,Adaptive Failure,deceptive,0
0,-1.06,7,1,0.25,,0.0019207144276671378,Adaptive Failure,deceptive,0
0,-1.02,3,1,1.0,,0.0019130416670426105,Adaptive Failure,deceptive,0
0,-1.03,4,1,0.6,,0.0019231664991821162,Adaptive Failure,deceptive,0
1,0.88,13,0,0.2857142857142857,0.0,0.0019131281542985772,Adaptive Failure,deceptive,0
0,-1.01,2,1,1.0,,0.0019259165055700578,Adaptive Failure,deceptive,0
1,0.88,13,0,0.2857142857142857,0.0,0.0019073749941666252,Adaptive Failure,deceptive,0
1,0.88,13,0,0.2857142857142857,0.0,0.0019138334632421343,Adaptive Failure,deceptive,0
1,0.86,15,0,0.25,2.0,0.0019206083321478217,Adaptive Failure,deceptive,0
0,-0.9900000000000002,50,0,0.0,,0.0036911883007269353,Combined Exploration,deceptive,0
0,-0.9900000000000002,50,0,0.0,,0.003782758359739091,Combined Exploration,deceptive,0
0,-0.9900000000000002,50,0,0.058823529411764705,,0.003923958319646772,Combined Exploration,deceptive,0
0,-0.9900000000000002,50,0,0.0196078431372549,,0.003898098300851416,Combined Exploration,deceptive,0
0,-0.9900000000000002,50,0,1.0,,0.0037980256602168083,Combined Exploration,deceptive,0
1,0.88,13,0,0.21428571428571427,0.0,0.0037546314617009978,Combined Exploration,deceptive,0
1,0.88,13,0,0.21428571428571427,0.0,0.0037614742323057726,Combined Exploration,deceptive,0
1,0.88,13,0,0.21428571428571427,0.0,0.003738115306567544,Combined Exploration,deceptive,0
1,0.88,13,0,0.21428571428571427,0.0,0.0037545674623778234,Combined Exploration,deceptive,0
1,0.88,13,0,0.21428571428571427,0.0,0.003743580154080589,Combined Exploration,deceptive,0
1,0.91,10,0,0.0,2.0,0.00190208769927267,Failure-Memory Baseline,random_small,0
1,0.91,10,0,0.0,2.0,0.0019013833021745085,Failure-Memory Baseline,random_small,0
1,0.91,10,0,0.0,2.0,0.0019064582957071252,Failure-Memory Baseline,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0019032603759114863,Failure-Memory Baseline,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0018980471249960829,Failure-Memory Baseline,random_small,0
1,0.89,12,0,0.0,4.0,0.0019012185827402088,Failure-Memory Baseline,random_small,0
1,0.91,10,0,0.0,2.0,0.0018890043007559142,Failure-Memory Baseline,random_small,0
1,0.91,10,0,0.0,2.0,0.001905099899158813,Failure-Memory Baseline,random_small,0
1,0.91,10,0,0.0,2.0,0.001915837699198164,Failure-Memory Baseline,random_small,0
1,0.91,10,0,0.0,2.0,0.0019122291036183015,Failure-Memory Baseline,random_small,0
1,0.91,10,0,0.0,2.0,0.0019118585041724145,Dead-End Memory,random_small,0
1,0.91,10,0,0.0,2.0,0.0018932791979750618,Dead-End Memory,random_small,0
1,0.91,10,0,0.0,2.0,0.0019043124993913807,Dead-End Memory,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0019045416229346301,Dead-End Memory,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.001929114372615004,Dead-End Memory,random_small,0
1,0.89,12,0,0.0,4.0,0.0019015519986472402,Dead-End Memory,random_small,0
1,0.91,10,0,0.0,2.0,0.0018935666987090372,Dead-End Memory,random_small,0
1,0.91,10,0,0.0,2.0,0.0019155250964104197,Dead-End Memory,random_small,0
1,0.91,10,0,0.0,2.0,0.0019201542003429496,Dead-End Memory,random_small,0
1,0.91,10,0,0.0,2.0,0.0019144498990499414,Dead-End Memory,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.004036187374367728,Diverse Candidates,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.004023791625513695,Diverse Candidates,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.004009421874798136,Diverse Candidates,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.004050911376907607,Diverse Candidates,random_small,0
1,0.91,10,0,0.0,2.0,0.003996566899877508,Diverse Candidates,random_small,0
1,0.89,12,0,0.0,4.0,0.003952541751156484,Diverse Candidates,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.004037875251015066,Diverse Candidates,random_small,0
1,0.91,10,0,0.0,2.0,0.003962595801567659,Diverse Candidates,random_small,0
1,0.91,10,0,0.0,2.0,0.003990220901323482,Diverse Candidates,random_small,0
1,0.91,10,0,0.0,2.0,0.003984612399653998,Diverse Candidates,random_small,0
1,0.91,10,0,0.0,2.0,0.0019210959013435057,Adaptive Failure,random_small,0
1,0.91,10,0,0.0,2.0,0.001883533300133422,Adaptive Failure,random_small,0
1,0.91,10,0,0.0,2.0,0.0018884415010688826,Adaptive Failure,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.001884895622424665,Adaptive Failure,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0019017343747691484,Adaptive Failure,random_small,0
1,0.89,12,0,0.0,4.0,0.0018989480001134023,Adaptive Failure,random_small,0
1,0.91,10,0,0.0,2.0,0.0018888124992372467,Adaptive Failure,random_small,0
1,0.91,10,0,0.0,2.0,0.0019132830988382921,Adaptive Failure,random_small,0
1,0.91,10,0,0.0,2.0,0.0019072458017035387,Adaptive Failure,random_small,0
1,0.91,10,0,0.0,2.0,0.0019037334990571254,Adaptive Failure,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.004052771120768739,Combined Exploration,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.006603869625905645,Combined Exploration,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.006387765499312081,Combined Exploration,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.005023223877287819,Combined Exploration,random_small,0
1,0.91,10,0,0.0,2.0,0.004020129403215833,Combined Exploration,random_small,0
1,0.89,12,0,0.0,4.0,0.004131951336603379,Combined Exploration,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.004102838747712667,Combined Exploration,random_small,0
1,0.91,10,0,0.0,2.0,0.004006920900428668,Combined Exploration,random_small,0
1,0.91,10,0,0.0,2.0,0.004077933497319464,Combined Exploration,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.004266817748430185,Combined Exploration,random_small,0
1,0.92,9,0,0.0,4.0,0.0019107084452924836,Failure-Memory Baseline,easy,1
1,0.88,13,0,0.0,8.0,0.001932298152286631,Failure-Memory Baseline,easy,1
1,0.94,7,0,0.0,2.0,0.001939190285546439,Failure-Memory Baseline,easy,1
1,0.94,7,0,0.0,2.0,0.0019426131433907098,Failure-Memory Baseline,easy,1
1,0.92,9,0,0.0,4.0,0.0019309723348770705,Failure-Memory Baseline,easy,1
1,0.94,7,0,0.0,2.0,0.0019292262877570465,Failure-Memory Baseline,easy,1
1,0.96,5,0,0.0,0.0,0.001934241599519737,Failure-Memory Baseline,easy,1
1,0.92,9,0,0.0,4.0,0.0019530925524627997,Failure-Memory Baseline,easy,1
1,0.9,11,0,0.0,6.0,0.0019408598190321672,Failure-Memory Baseline,easy,1
