success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Seed,Task
0,-1.0,1,1,0.0,,1.3750104699283838e-06,Random Policy,0,task_02
0,-1.01,2,1,0.0,,1.0625008144415915e-06,Random Policy,0,task_02
0,-1.09,10,1,0.0,,7.331997039727866e-07,Random Policy,0,task_02
0,-1.0,1,1,0.0,,1.0420044418424368e-06,Random Policy,0,task_02
1,0.96,5,0,0.0,0.0,2.00001522898674e-07,Value Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.4179968275129795e-07,Value Iteration,0,task_02
1,0.96,5,0,0.0,0.0,9.980285540223121e-08,Value Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.3339740689843893e-07,Value Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.1680240277200938e-07,Value Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.752021489664912e-07,Policy Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.0840012691915035e-07,Policy Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.666019670665264e-07,Policy Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.6659905668348074e-07,Policy Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.0840303730219602e-07,Policy Iteration,0,task_02
1,0.96,5,0,0.0,0.0,1.1165975593030453e-06,Q-learning,0,task_02
1,0.96,5,0,0.0,0.0,8.74800025485456e-07,Q-learning,0,task_02
1,0.96,5,0,0.0,0.0,8.666043868288398e-07,Q-learning,0,task_02
1,0.96,5,0,0.0,0.0,7.834023563191295e-07,Q-learning,0,task_02
1,0.96,5,0,0.0,0.0,7.585971616208554e-07,Q-learning,0,task_02
1,0.96,5,0,0.0,0.0,0.0015405834012199194,MCTS,0,task_02
1,0.92,9,0,0.0,4.0,0.0018626852203548576,MCTS,0,task_02
1,0.94,7,0,0.0,2.0,0.0016784582860834365,MCTS,0,task_02
1,0.88,13,0,0.0,8.0,0.0020537950779096438,MCTS,0,task_02
1,0.94,7,0,0.0,2.0,0.0015257977190360958,MCTS,0,task_02
0,-1.01,2,1,0.0,,0.0013983745011501014,Map-Conditioned Standard Diffusion,0,task_02
0,-1.01,2,1,0.0,,0.0013219379980000667,Map-Conditioned Standard Diffusion,0,task_02
0,-1.01,2,1,0.0,,0.0013321040023583919,Map-Conditioned Standard Diffusion,0,task_02
0,-1.01,2,1,0.0,,0.00146881250111619,Map-Conditioned Standard Diffusion,0,task_02
0,-1.01,2,1,0.0,,0.0015078340074978769,Map-Conditioned Standard Diffusion,0,task_02
0,-1.01,2,1,0.0,,0.0014188540080795065,Map-Conditioned Failure-Memory Diffusion,0,task_02
1,0.96,5,0,0.3333333333333333,0.0,0.0013702913973247632,Map-Conditioned Failure-Memory Diffusion,0,task_02
1,0.9,11,0,0.08333333333333333,6.0,0.0014352994555586272,Map-Conditioned Failure-Memory Diffusion,0,task_02
0,-1.03,4,1,0.2,,0.0014643017493654042,Map-Conditioned Failure-Memory Diffusion,0,task_02
1,0.96,5,0,0.6666666666666666,0.0,0.001400708398432471,Map-Conditioned Failure-Memory Diffusion,0,task_02
1,0.96,5,0,0.0,0.0,0.001994483600719832,Map-Conditioned Improved Failure-Memory Diffusion,0,task_02
1,0.92,9,0,0.0,4.0,0.0019841804476325503,Map-Conditioned Improved Failure-Memory Diffusion,0,task_02
1,0.96,5,0,0.0,0.0,0.0019375584000954405,Map-Conditioned Improved Failure-Memory Diffusion,0,task_02
1,0.94,7,0,0.0,2.0,0.0019614944321801886,Map-Conditioned Improved Failure-Memory Diffusion,0,task_02
1,0.96,5,0,0.0,0.0,0.001980858200113289,Map-Conditioned Improved Failure-Memory Diffusion,0,task_02
0,-1.0,1,1,0.0,,1.4999968698248267e-06,Random Policy,0,task_03
0,-1.0,1,1,0.0,,1.4999968698248267e-06,Random Policy,0,task_03
0,-1.0,1,1,0.0,,1.2909877113997936e-06,Random Policy,0,task_03
0,-1.0,1,1,0.0,,1.1660013115033507e-06,Random Policy,0,task_03
0,-1.0,1,1,0.0,,1.2089876690879464e-06,Random Policy,0,task_03
1,0.94,7,0,0.0,0.0,2.2599955887666772e-07,Value Iteration,0,task_03
1,0.94,7,0,0.0,0.0,1.308570582685726e-07,Value Iteration,0,task_03
1,0.94,7,0,0.0,0.0,1.2485959034945283e-07,Value Iteration,0,task_03
