success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_D,Map,Seed
0,-1.03,4,1,0.0,,0.0012916665018565254,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0013055832496320363,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0014846774975012522,30,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0014800417484366335,30,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0014836044992989628,30,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0014861039999232162,30,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.001487176999944495,30,0.1,deceptive,0
0,-1.05,6,1,0.0,,0.0014810623360972386,30,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.001493312500315369,30,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0014803650010435376,30,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0014853647498966893,30,0.1,deceptive,0
0,-1.05,6,1,0.0,,0.0014842779989218495,30,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0016647602515149629,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0017073957496904768,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0016960105003818171,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0016887502533791121,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.001688114747594227,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0016901462495297892,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0016844165002112277,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0016898335015866905,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0016936872525548097,40,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.001683135749772191,40,0.1,deceptive,0
0,-1.0,1,1,0.0,,0.0011408749996917322,5,0.1,random_small,0
0,-1.01,2,1,0.0,,0.0011187504969711881,5,0.1,random_small,0
0,-1.08,9,1,0.0,,0.001105097000416006,5,0.1,random_small,0
0,-1.01,2,1,0.0,,0.0011072914967371617,5,0.1,random_small,0
0,-1.08,9,1,0.0,,0.00110462511252586,5,0.1,random_small,0
0,-1.0,1,1,0.0,,0.0011007089997292496,5,0.1,random_small,0
0,-1.01,2,1,0.0,,0.0011003335021086968,5,0.1,random_small,0
0,-1.0,1,1,0.0,,0.0011063340061809868,5,0.1,random_small,0
0,-1.0,1,1,0.0,,0.001111792000301648,5,0.1,random_small,0
0,-1.0,1,1,0.0,,0.001100583998777438,5,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.001188441699196119,10,0.1,random_small,0
1,0.8099999999999999,20,0,0.0,12.0,0.0011898041502718115,10,0.1,random_small,0
0,-1.06,7,1,0.0,,0.0011852677136110806,10,0.1,random_small,0
1,0.73,28,0,0.0,20.0,0.0011847201793508638,10,0.1,random_small,0
1,0.89,12,0,0.0,4.0,0.0011829235839589576,10,0.1,random_small,0
0,-1.04,5,1,0.0,,0.0011817170001449996,10,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0011808697499873233,10,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0011844633754662937,10,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.001180302124339505,10,0.1,random_small,0
1,0.83,18,0,0.0,10.0,0.0011831249442669407,10,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0013957757500975276,20,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0013951507498859428,20,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0013914424998802133,20,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.0013928833992395083,20,0.1,random_small,0
1,0.89,12,0,0.0,4.0,0.0014002432514341006,20,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.0013897290016757324,20,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.0013917122996645048,20,0.1,random_small,0
1,0.85,16,0,0.0,8.0,0.0013995103740853665,20,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0014077707483011181,20,0.1,random_small,0
1,0.89,12,0,0.0,4.0,0.0014105452495035327,20,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.0015667502018914092,30,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0015489688748857589,30,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0015576767509628553,30,0.1,random_small,0
1,0.91,10,0,0.0,2.0,0.0015640874982636888,30,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0015525625003647292,30,0.1,random_small,0
