success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_F,Map,Seed
0,-1.02,3,1,1.0,,0.0011575973306510907,2.0,obstacle,0
0,-1.0,1,1,1.0,,0.001163083994470071,2.0,obstacle,0
0,-1.02,3,1,0.5,,0.001163055999010491,2.0,obstacle,0
0,-1.02,3,1,1.0,,0.0011500836699269712,2.0,obstacle,0
0,-1.03,4,1,0.6,,0.001155666497652419,2.0,obstacle,0
0,-1.04,5,1,0.6666666666666666,,0.0011452334001660347,2.0,obstacle,0
0,-1.01,2,1,1.0,,0.0011600204998103436,2.0,obstacle,0
0,-1.01,2,1,0.0,,0.001158728999143932,5.0,obstacle,0
0,-1.01,2,1,0.3333333333333333,,0.0011603119965002406,5.0,obstacle,0
0,-1.02,3,1,0.5,,0.0011553750009625219,5.0,obstacle,0
0,-1.02,3,1,1.0,,0.0011512219983463485,5.0,obstacle,0
0,-1.0,1,1,1.0,,0.001163916000223253,5.0,obstacle,0
0,-1.02,3,1,0.5,,0.0011541386653940815,5.0,obstacle,0
0,-1.02,3,1,1.0,,0.001154708336495484,5.0,obstacle,0
0,-1.03,4,1,0.6,,0.001157270749899908,5.0,obstacle,0
0,-1.04,5,1,0.6666666666666666,,0.001150124798004981,5.0,obstacle,0
0,-1.01,2,1,1.0,,0.0011536874990270007,5.0,obstacle,0
0,-1.03,4,1,0.0,,0.001229239751410205,0.0,deceptive,0
0,-1.0,1,1,1.0,,0.0011569999987841584,0.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011558127498574322,0.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011571562517929124,0.0,deceptive,0
0,-1.0,1,1,1.0,,0.0011497919986140914,0.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011471462494228035,0.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011499684987938963,0.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011416042489145184,0.0,deceptive,0
0,-1.03,4,1,1.0,,0.0011424270014686044,0.0,deceptive,0
0,-1.0,1,1,1.0,,0.001150333002442494,0.0,deceptive,0
0,-1.03,4,1,0.0,,0.001150416499513085,0.1,deceptive,0
