success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_D,Map,Seed
0,-1.0,1,1,0.0,,0.0011614579998422414,0.0,easy,1
0,-1.05,6,1,0.0,,0.0011280484977760352,0.1,easy,1
1,0.96,5,0,0.0,0.0,0.0011236083984840662,0.1,easy,1
0,-1.0,1,1,0.0,,0.0011318340111756697,0.1,easy,1
0,-1.0,1,1,0.0,,0.0011504580033943057,0.1,easy,1
1,0.9,11,0,0.0,6.0,0.0011417725433023986,0.1,easy,1
0,-1.01,2,1,0.0,,0.0011135829918202944,0.1,easy,1
1,0.92,9,0,0.0,4.0,0.00113710189179983,0.1,easy,1
0,-1.0,1,1,0.0,,0.0011402920063119382,0.1,easy,1
1,0.96,5,0,0.0,0.0,0.0011272918054601178,0.1,easy,1
0,-1.0,1,1,0.0,,0.0011229999945499003,0.1,easy,1
0,-1.05,6,1,0.0,,0.0011205834986564394,0.5,easy,1
0,-1.08,9,1,0.0,,0.001137481444554093,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0011232441403470667,0.5,easy,1
0,-1.0,1,1,0.0,,0.001135500002419576,0.5,easy,1
1,0.96,5,0,0.0,0.0,0.0011401084018871188,0.5,easy,1
0,-1.01,2,1,0.0,,0.0011222920002182946,0.5,easy,1
1,0.92,9,0,0.0,4.0,0.0011331762248624323,0.5,easy,1
0,-1.0,1,1,0.0,,0.001137624989496544,0.5,easy,1
1,0.96,5,0,0.0,0.0,0.0011358250019839033,0.5,easy,1
0,-1.0,1,1,0.0,,0.001143458008300513,0.5,easy,1
0,-1.05,6,1,0.0,,0.0011329721698227029,1.0,easy,1
0,-1.08,9,1,0.0,,0.001135351669897015,1.0,easy,1
1,0.94,7,0,0.0,2.0,0.0011309464337370758,1.0,easy,1
0,-1.0,1,1,0.0,,0.0011308329994790256,1.0,easy,1
1,0.96,5,0,0.0,0.0,0.001160583397722803,1.0,easy,1
0,-1.01,2,1,0.0,,0.0012682919987128116,1.0,easy,1
1,0.94,7,0,0.0,2.0,0.0011317737080389634,1.0,easy,1
0,-1.0,1,1,0.0,,0.0011880420061061159,1.0,easy,1
1,0.96,5,0,0.0,0.0,0.0012461168022127821,1.0,easy,1
0,-1.0,1,1,0.0,,0.0011734580039046705,1.0,easy,1
0,-1.05,6,1,0.0,,0.0011282221651830089,2.0,easy,1
0,-1.08,9,1,0.0,,0.0011824674438685179,2.0,easy,1
1,0.94,7,0,0.0,2.0,0.0011385000023957609,2.0,easy,1
0,-1.0,1,1,0.0,,0.0012304999982006848,2.0,easy,1
1,0.96,5,0,0.0,0.0,0.0011638165946351365,2.0,easy,1
0,-1.01,2,1,0.0,,0.0011113955042674206,2.0,easy,1
1,0.94,7,0,0.0,2.0,0.0012312617078090885,2.0,easy,1
0,-1.0,1,1,0.0,,0.0011941249977098778,2.0,easy,1
1,0.96,5,0,0.0,0.0,0.0011515917954966425,2.0,easy,1
0,-1.0,1,1,0.0,,0.0011075829970650375,2.0,easy,1
0,-1.05,6,1,0.0,,0.0011679235030896962,5.0,easy,1
0,-1.08,9,1,0.0,,0.0011315370017352204,5.0,easy,1
1,0.94,7,0,0.0,2.0,0.0012108634255127981,5.0,easy,1
0,-1.0,1,1,0.0,,0.0011547920003067702,5.0,easy,1
1,0.96,5,0,0.0,0.0,0.0011649664025753736,5.0,easy,1
0,-1.01,2,1,0.0,,0.0011266665023867972,5.0,easy,1
1,0.94,7,0,0.0,2.0,0.001168006141337433,5.0,easy,1
