success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_F,Map,Seed
0,-1.02,3,1,1.0,,0.001419374564041694,5,0.5,deceptive,0
0,-1.0,1,1,1.0,,0.0013622499536722898,5,0.5,deceptive,0
0,-1.01,2,1,1.0,,0.001312854466959834,5,0.5,deceptive,0
0,-1.03,4,1,0.0,,0.0014856457710266113,10,0.5,deceptive,0
0,-1.02,3,1,1.0,,0.001399819351111849,10,0.5,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.001492479001171887,10,0.5,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.001452633272856474,10,0.5,deceptive,0
0,-1.05,6,1,0.2857142857142857,,0.0014827083408211668,10,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.001375322521198541,10,0.5,deceptive,0
0,-1.04,5,1,1.0,,0.0014920495450496674,10,0.5,deceptive,0
0,-1.09,10,1,1.0,,0.0014182833954691886,10,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.0013877705205231905,10,0.5,deceptive,0
0,-1.04,5,1,1.0,,0.0014491666108369828,10,0.5,deceptive,0
0,-1.05,6,1,0.0,,0.0015493753210951884,20,0.5,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.0016857499722391367,20,0.5,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.0015861664433032274,20,0.5,deceptive,0
0,-1.05,6,1,0.7142857142857143,,0.0015547572014232476,20,0.5,deceptive,0
0,-1.05,6,1,1.0,,0.0016450628560657303,20,0.5,deceptive,0
0,-1.08,9,1,0.4,,0.0015964722260832787,20,0.5,deceptive,0
0,-1.06,7,1,1.0,,0.0015995475862707411,20,0.5,deceptive,0
0,-1.05,6,1,1.0,,0.0015812431229278445,20,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.001536125026177615,20,0.5,deceptive,0
0,-1.08,9,1,1.0,,0.0016024118651532466,20,0.5,deceptive,0
0,-1.03,4,1,0.0,,0.0017046767170540988,30,0.5,deceptive,0
0,-1.06,7,1,0.125,,0.0018676132895052433,30,0.5,deceptive,0
0,-1.02,3,1,1.0,,0.0018234859841565292,30,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.0019021874759346247,30,0.5,deceptive,0
0,-1.1,11,1,1.0,,0.0018240415321832354,30,0.5,deceptive,0
0,-1.05,6,1,1.0,,0.0018403958917285006,30,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.001748593698721379,30,0.5,deceptive,0
0,-1.24,25,1,1.0,,0.0017942066118121147,30,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.0017858962528407574,30,0.5,deceptive,0
0,-1.03,4,1,1.0,,0.0017926142318174243,30,0.5,deceptive,0
0,-1.03,4,1,0.0,,0.0019367812783457339,40,0.5,deceptive,0
0,-1.04,5,1,0.6666666666666666,,0.0020265419967472552,40,0.5,deceptive,0
0,-1.01,2,1,0.3333333333333333,,0.0019681460689753294,40,0.5,deceptive,0
0,-1.02,3,1,1.0,,0.002054624647522966,40,0.5,deceptive,0
0,-1.05,6,1,0.7142857142857143,,0.0020159026995922127,40,0.5,deceptive,0
0,-1.08,9,1,0.3,,0.00202892136035694,40,0.5,deceptive,0
0,-1.19,20,1,1.0,,0.0020144373760558666,40,0.5,deceptive,0
0,-1.02,3,1,1.0,,0.002101736065621177,40,0.5,deceptive,0
0,-1.02,3,1,1.0,,0.0020504447165876627,40,0.5,deceptive,0
0,-1.09,10,1,1.0,,0.002115966589190066,40,0.5,deceptive,0
0,-1.07,8,1,0.0,,0.0013551407027989626,5,0.5,random_small,0
0,-1.04,5,1,0.3333333333333333,,0.0013152086641639471,5,0.5,random_small,0
1,0.85,16,0,0.4117647058823529,8.0,0.0013820025633322075,5,0.5,random_small,0
0,-1.04,5,1,0.5,,0.0012333418242633342,5,0.5,random_small,0
